id,price,direct,outbound_carrier,city,departure_date,inbound_carrier,arrival_date,country,no_of_days,continent,region,lat,lng
1,103573,FALSE,Lufthansa,Barcelona,2021-05-11,Lufthansa,2021-05-12,Spain,1,Europe,Southern Europe,41.3825,2.1769
2,127344,FALSE,Turkish Airlines,Zurich,2021-05-11,Turkish Airlines,2021-05-12,Switzerland,1,Europe,Western Europe,NA,NA
3,129887,FALSE,Lufthansa,Amsterdam,2021-05-11,Lufthansa,2021-05-12,Netherlands,1,Europe,Western Europe,52.35,4.9166
4,158019,FALSE,Turkish Airlines,Dusseldorf,2021-05-11,LOT,2021-05-12,Germany,1,Europe,Western Europe,NA,NA
5,166442,TRUE,KLM,Amsterdam,2021-05-11,KLM,2021-05-12,Netherlands,1,Europe,Western Europe,52.35,4.9166
1,71801,TRUE,Turkish Airlines,Istanbul,2021-05-12,Turkish Airlines,2021-05-13,Turkey,1,Asia,Western Asia,41.01,28.9603
2,72666,FALSE,Lufthansa,Zurich,2021-05-12,SWISS,2021-05-13,Switzerland,1,Europe,Western Europe,NA,NA
3,74422,FALSE,Ryanair,Rome,2021-05-12,Alitalia,2021-05-13,Italy,1,Europe,Southern Europe,41.8931,12.4828
4,77488,FALSE,Turkish Airlines,Istanbul,2021-05-12,Pegasus Airlines,2021-05-13,Turkey,1,Asia,Western Asia,41.01,28.9603
5,84509,FALSE,Lufthansa,London,2021-05-12,Lufthansa,2021-05-13,United Kingdom,1,Europe,Northern Europe,51.5072,-0.1275
6,93590,FALSE,Lufthansa,Paris,2021-05-12,Lufthansa,2021-05-13,France,1,Europe,Western Europe,48.8566,2.3522
7,95651,FALSE,Lufthansa,Dusseldorf,2021-05-12,Lufthansa,2021-05-13,Germany,1,Europe,Western Europe,NA,NA
8,99671,TRUE,Lufthansa,Frankfurt,2021-05-12,Lufthansa,2021-05-13,Germany,1,Europe,Western Europe,50.1136,8.6797
9,136633,FALSE,Lufthansa,Prague,2021-05-12,Lufthansa,2021-05-13,Czechia,1,Europe,Eastern Europe,50.0833,14.4167
10,141905,FALSE,Lufthansa,Oslo,2021-05-12,Lufthansa,2021-05-13,Norway,1,Europe,Northern Europe,59.9111,10.7528
11,143969,FALSE,Lufthansa,Alicante,2021-05-12,Vueling Airlines,2021-05-13,Spain,1,Europe,Southern Europe,38.3453,-0.4831
1,60119,TRUE,Lufthansa,Munich,2021-05-13,Lufthansa,2021-05-14,Germany,1,Europe,Western Europe,48.1372,11.5755
2,73653,FALSE,Lufthansa,Munich,2021-05-13,Lufthansa,2021-05-14,Germany,1,Europe,Western Europe,48.1372,11.5755
3,77337,FALSE,Lufthansa,Istanbul,2021-05-13,Lufthansa,2021-05-14,Turkey,1,Asia,Western Asia,41.01,28.9603
4,79484,FALSE,SWISS,Zurich,2021-05-13,Lufthansa,2021-05-14,Switzerland,1,Europe,Western Europe,NA,NA
5,88787,TRUE,Turkish Airlines,Istanbul,2021-05-13,Pegasus Airlines,2021-05-14,Turkey,1,Asia,Western Asia,41.01,28.9603
6,89359,FALSE,Lufthansa,Rome,2021-05-13,Lufthansa,2021-05-14,Italy,1,Europe,Southern Europe,41.8931,12.4828
1,23271,TRUE,Wizz Air,London,2021-05-14,Ryanair,2021-05-15,United Kingdom,1,Europe,Northern Europe,51.5072,-0.1275
2,34749,FALSE,Ryanair,Milan,2021-05-14,Wizz Air,2021-05-15,Italy,1,Europe,Southern Europe,45.4669,9.19
3,51864,FALSE,LOT,Zurich,2021-05-14,LOT,2021-05-15,Switzerland,1,Europe,Western Europe,NA,NA
4,55930,FALSE,Ryanair,Tenerife,2021-05-14,Wizz Air,2021-05-15,Spain,1,Europe,Southern Europe,NA,NA
5,62558,FALSE,Lufthansa,London,2021-05-14,Lufthansa,2021-05-15,United Kingdom,1,Europe,Northern Europe,51.5072,-0.1275
6,62916,TRUE,Lufthansa,Frankfurt,2021-05-14,Lufthansa,2021-05-15,Germany,1,Europe,Western Europe,50.1136,8.6797
7,73324,FALSE,LOT,Frankfurt,2021-05-14,LOT,2021-05-15,Germany,1,Europe,Western Europe,50.1136,8.6797
8,87699,FALSE,KLM,Paris,2021-05-14,Air France,2021-05-15,France,1,Europe,Western Europe,48.8566,2.3522
9,99950,FALSE,LOT,Wroclaw,2021-05-14,LOT,2021-05-15,Poland,1,Europe,Eastern Europe,NA,NA
1,22137,FALSE,Ryanair,London,2021-05-15,Ryanair,2021-05-16,United Kingdom,1,Europe,Northern Europe,51.5072,-0.1275
